time,light,temp
1521495158729,82,76.77
1521495160371,82,76.77
1521495162013,82,76.77
1521495163656,82,76.77
1521495165298,82,76.77
1521495166940,82,76.77
1521495168582,83,76.77
1521495170224,83,76.89
1521495171866,83,76.77
1521495173509,83,76.77
1521495175151,83,76.77
1521495176793,83,76.77
1521495178435,83,76.77
1521495180077,83,76.77
1521495181719,83,76.89
1521495183361,83,76.89
1521495185004,83,76.77
1521495186646,83,76.77
1521495188288,83,76.77
1521495189930,83,76.77
1521495191572,83,76.77
1521495193214,83,76.77
1521495194857,83,76.77
1521495196499,83,76.77
1521495198141,82,76.77
1521495199783,82,76.77
1521495201425,82,76.77
1521495203067,82,76.77
1521495204720,82,76.77
1521495206352,82,76.77
1521495207994,82,76.77
1521495209636,82,76.77
1521495211278,82,76.77
1521495212920,82,76.77
1521495214563,82,76.77
1521495216205,82,76.77
1521495217847,82,76.77
1521495219489,82,76.77
1521495221131,82,76.77
1521495222773,82,76.77
1521495224415,82,76.77
1521495226058,82,76.77
1521495227700,82,76.77
1521495229342,82,76.77
1521495230984,82,76.77
1521495232626,82,76.77
1521495234268,82,76.77
1521495235911,82,76.77
1521495237553,82,76.77
1521495239195,81,76.77
1521495240837,82,76.77
1521495242479,81,76.77
1521495244121,82,76.77
1521495245764,81,76.77
1521495247416,81,76.77
1521495249048,81,76.77
